Protein_ID;Gene Name;log2_FC;p_val;p_adj;significant;WT_vs_DPP4_significant;imputed;num_NAs;Protein.Names.x;Protein.Names.y
P05787;KRT8;-1.06;1.94E-14;2.16E-12;TRUE;TRUE;FALSE;0;K2C8;Keratin, type II cytoskeletal 8
P06737;PYGL;1.12;9.43E-13;5.13E-11;TRUE;TRUE;FALSE;0;PYGL;Glycogen phosphorylase, liver form
P07196;NEFL;3.74;7.92E-18;2.86E-15;TRUE;TRUE;FALSE;0;NFL;Neurofilament light polypeptide
P07203;GPX1;-1.23;0.00000385;0.0000304;TRUE;TRUE;FALSE;0;GPX1;Glutathione peroxidase 1
P07996;THBS1;-2.84;6.62E-14;5.89E-12;TRUE;TRUE;FALSE;0;TSP1;Thrombospondin-1
P08195;SLC3A2;-1.12;1.15E-15;2.08E-13;TRUE;TRUE;FALSE;0;4F2;Amino acid transporter heavy chain SLC3A2
P08237;PFKM;1.19;0.00000156;0.0000136;TRUE;TRUE;FALSE;0;PFKAM;ATP-dependent 6-phosphofructokinase, muscle type
P08243;ASNS;-1.36;9.62E-16;1.90E-13;TRUE;TRUE;FALSE;0;ASNS;Asparagine synthetase [glutamine-hydrolyzing]
P08294;SOD3;1.23;1.12E-11;4.39E-10;TRUE;TRUE;TRUE;1;SODE;Extracellular superoxide dismutase [Cu-Zn]
P08648;ITGA5;1.47;0.000315;0.00143;TRUE;TRUE;TRUE;4;ITA5;Integrin alpha-5
P08670;VIM;1.76;1.25E-15;2.19E-13;TRUE;TRUE;FALSE;0;VIME;Vimentin
P08754;GNAI3;-1;1.14E-13;8.86E-12;TRUE;TRUE;FALSE;0;GNAI3;Guanine nucleotide-binding protein G(i) subunit alpha-3
P09758;TACSTD2;-3.68;1.36E-24;2.09E-21;TRUE;TRUE;FALSE;0;TACD2;Tumor-associated calcium signal transducer 2
P0CG40;SP9;-1.72;1.24E-09;2.69E-08;TRUE;TRUE;TRUE;12;SP9;Transcription factor Sp9
P10145;CXCL8;-1.39;0.0000776;0.00043;TRUE;TRUE;TRUE;15;IL8;Interleukin-8
P10253;GAA;1.12;2.55E-11;8.84E-10;TRUE;TRUE;FALSE;0;LYAG;Lysosomal alpha-glucosidase
P10636;MAPT;1.67;3.15E-09;5.91E-08;TRUE;TRUE;TRUE;11;TAU;Microtubule-associated protein tau
P11166;SLC2A1;-1.51;6.65E-15;8.88E-13;TRUE;TRUE;FALSE;0;GTR1;Solute carrier family 2, facilitated glucose transporter member 1
P11216;PYGB;1.39;3.66E-15;5.53E-13;TRUE;TRUE;FALSE;0;PYGB;Glycogen phosphorylase, brain form
P11310;ACADM;-1.33;1.17E-13;8.95E-12;TRUE;TRUE;FALSE;0;ACADM;Medium-chain specific acyl-CoA dehydrogenase, mitochondrial
P11532;DMD;-1.59;0.00000462;0.0000359;TRUE;TRUE;TRUE;12;DMD;Dystrophin
P11926;ODC1;2.31;1.19E-08;0.000000179;TRUE;TRUE;TRUE;4;DCOR;Ornithine decarboxylase
P12004;PCNA;-1.06;0.00461;0.0142;TRUE;TRUE;FALSE;0;PCNA;Proliferating cell nuclear antigen
P12109;COL6A1;2.27;1.07E-13;8.57E-12;TRUE;TRUE;FALSE;0;CO6A1;Collagen alpha-1(VI) chain
P12110;COL6A2;2.23;1.65E-12;8.37E-11;TRUE;TRUE;FALSE;0;CO6A2;Collagen alpha-2(VI) chain
P12277;CKB;1.22;0.00000437;0.000034;TRUE;TRUE;TRUE;1;KCRB;Creatine kinase B-type
P12532;CKMT1A;-1.3;4.54E-13;2.82E-11;TRUE;TRUE;FALSE;0;KCRU;Creatine kinase U-type, mitochondrial
P12830;CDH1;-2.34;3.01E-08;0.000000409;TRUE;TRUE;TRUE;2;CADH1;Cadherin-1
P13612;ITGA4;1.29;0.0163;0.0419;TRUE;TRUE;TRUE;10;ITA4;Integrin alpha-4
P13716;ALAD;1.12;0.0000236;0.000152;TRUE;TRUE;FALSE;0;HEM2;Delta-aminolevulinic acid dehydratase
P13796;LCP1;-1.86;1.72E-09;0.000000036;TRUE;TRUE;FALSE;0;PLSL;Plastin-2
P13987;CD59;1.2;6.49E-11;1.98E-09;TRUE;TRUE;FALSE;0;CD59;CD59 glycoprotein
P14923;JUP;-1.15;0.000000229;0.00000251;TRUE;TRUE;FALSE;0;PLAK;Junction plakoglobin
P15090;FABP4;3.75;1.64E-18;9.15E-16;TRUE;TRUE;FALSE;0;FABP4;Fatty acid-binding protein, adipocyte
P15104;GLUL;1.22;2.61E-15;4.45E-13;TRUE;TRUE;FALSE;0;GLNA;Glutamine synthetase
P15428;HPGD;1.87;6.02E-11;1.86E-09;TRUE;TRUE;FALSE;0;PGDH;15-hydroxyprostaglandin dehydrogenase [NAD(+)]
P15924;DSP;-1.5;1.35E-17;4.60E-15;TRUE;TRUE;FALSE;0;DESP;Desmoplakin
P16422;EPCAM;-3.2;2.14E-23;2.63E-20;TRUE;TRUE;FALSE;0;EPCAM;Epithelial cell adhesion molecule
P17252;PRKCA;1.12;3.28E-18;1.56E-15;TRUE;TRUE;FALSE;0;KPCA;Protein kinase C alpha type
P17301;ITGA2;-1.3;3.99E-15;5.84E-13;TRUE;TRUE;FALSE;0;ITA2;Integrin alpha-2
P17900;GM2A;1.05;0.0000556;0.000323;TRUE;TRUE;FALSE;0;SAP3;Ganglioside GM2 activator
P18564;ITGB6;-1.23;1.12E-08;0.000000171;TRUE;TRUE;TRUE;12;ITB6;Integrin beta-6
P19256;CD58;-1.54;2.37E-09;4.67E-08;TRUE;TRUE;TRUE;1;LFA3;Lymphocyte function-associated antigen 3
P19883;FST;-1.01;2.17E-11;7.76E-10;TRUE;TRUE;FALSE;0;FST;Follistatin
P21980;TGM2;-1.92;1.79E-13;1.31E-11;TRUE;TRUE;FALSE;0;TGM2;Protein-glutamine gamma-glutamyltransferase 2
P22676;CALB2;-2.39;0.00000161;0.000014;TRUE;TRUE;TRUE;7;CALB2;Calretinin
P23229;ITGA6;1.04;6.53E-13;3.89E-11;TRUE;TRUE;FALSE;0;ITA6;Integrin alpha-6
P25445;FAS;-1.47;9.04E-09;0.000000142;TRUE;TRUE;TRUE;1;TNR6;Tumor necrosis factor receptor superfamily member 6
P25815;S100P;-1.77;1.47E-14;1.77E-12;TRUE;TRUE;FALSE;0;S100P;Protein S100-P
P26006;ITGA3;1.19;9.11E-17;2.54E-14;TRUE;TRUE;FALSE;0;ITA3;Integrin alpha-3
P27144;AK4;-1.01;5.15E-16;1.09E-13;TRUE;TRUE;FALSE;0;KAD4;Adenylate kinase 4, mitochondrial
P27487;DPP4;-3.85;2.88E-20;2.21E-17;TRUE;TRUE;FALSE;0;DPP4;Dipeptidyl peptidase 4
P29034;S100A2;-1.29;8.30E-09;0.000000133;TRUE;TRUE;FALSE;0;S10A2;Protein S100-A2
P29323;EPHB2;-1.03;0.0000116;0.0000821;TRUE;TRUE;FALSE;0;EPHB2;Ephrin type-B receptor 2
P29373;CRABP2;-1.48;0.00000679;0.0000505;TRUE;TRUE;FALSE;0;RABP2;Cellular retinoic acid-binding protein 2
P29762;CRABP1;2.5;2.47E-10;6.68E-09;TRUE;TRUE;TRUE;10;RABP1;Cellular retinoic acid-binding protein 1
P30047;GCHFR;1.44;6.93E-08;0.000000862;TRUE;TRUE;TRUE;2;GFRP;GTP cyclohydrolase 1 feedback regulatory protein
P30825;SLC7A1;-1.4;6.06E-12;2.62E-10;TRUE;TRUE;FALSE;0;CTR1;High affinity cationic amino acid transporter 1
P31146;CORO1A;1.08;7.76E-14;6.61E-12;TRUE;TRUE;FALSE;0;COR1A;Coronin-1A
P31270;HOXA11;-1.06;0.000562;0.00237;TRUE;TRUE;TRUE;5;HXA11;Homeobox protein Hox-A11
P31431;SDC4;-1.15;0.0000358;0.00022;TRUE;TRUE;TRUE;1;SDC4;Syndecan-4
P32519;ELF1;-1.36;1.12E-09;2.48E-08;TRUE;TRUE;FALSE;0;ELF1;ETS-related transcription factor Elf-1
P33897;ABCD1;1.12;0.0000115;0.0000809;TRUE;TRUE;FALSE;0;ABCD1;ATP-binding cassette sub-family D member 1
P34896;SHMT1;-1.05;0.00000161;0.000014;TRUE;TRUE;FALSE;0;GLYC;Serine hydroxymethyltransferase, cytosolic
P35354;PTGS2;-1.09;0.00061;0.00255;TRUE;TRUE;TRUE;15;PGH2;Prostaglandin G/H synthase 2
P35520;CBS;-1.09;0.00000148;0.0000131;TRUE;TRUE;TRUE;10;CBS;Cystathionine beta-synthase
P35555;FBN1;1.04;0.00039;0.00173;TRUE;TRUE;TRUE;1;FBN1;Fibrillin-1
P35612;ADD2;-1.85;0.000000195;0.00000218;TRUE;TRUE;TRUE;13;ADDB;Beta-adducin
P36871;PGM1;-1.01;8.70E-14;7.32E-12;TRUE;TRUE;FALSE;0;PGM1;Phosphoglucomutase-1
P37059;HSD17B2;1.88;0.000000047;0.000000615;TRUE;TRUE;TRUE;6;DHB2;17-beta-hydroxysteroid dehydrogenase type 2
P37268;FDFT1;-2.16;3.30E-13;2.11E-11;TRUE;TRUE;TRUE;2;FDFT;Squalene synthase
P40123;CAP2;1.52;3.67E-17;1.19E-14;TRUE;TRUE;FALSE;0;CAP2;Adenylyl cyclase-associated protein 2
P42330;AKR1C3;1.55;6.96E-10;1.66E-08;TRUE;TRUE;TRUE;1;AK1C3;Aldo-keto reductase family 1 member C3
P43405;SYK;-1.78;8.43E-10;1.97E-08;TRUE;TRUE;TRUE;8;KSYK;Tyrosine-protein kinase SYK
P46013;MKI67;-1.18;2.08E-12;1.02E-10;TRUE;TRUE;FALSE;0;KI67;Proliferation marker protein Ki-67
P46821;MAP1B;1.73;1.95E-13;1.40E-11;TRUE;TRUE;FALSE;0;MAP1B;Microtubule-associated protein 1B
P48066;SLC6A11;-2.88;6.24E-16;1.28E-13;TRUE;TRUE;TRUE;1;S6A11;Sodium- and chloride-dependent GABA transporter 3
P49419;ALDH7A1;1.1;6.77E-09;0.000000112;TRUE;TRUE;FALSE;0;AL7A1;Alpha-aminoadipic semialdehyde dehydrogenase
P50238;CRIP1;1.35;0.000083;0.000457;TRUE;TRUE;TRUE;4;CRIP1;Cysteine-rich protein 1
P51648;ALDH3A2;1.21;1.03E-09;2.33E-08;TRUE;TRUE;FALSE;0;AL3A2;Aldehyde dehydrogenase family 3 member A2
P51688;SGSH;1.02;2.83E-11;9.55E-10;TRUE;TRUE;FALSE;0;SPHM;N-sulphoglucosamine sulphohydrolase
P52564;MAP2K6;1.33;1.37E-12;7.20E-11;TRUE;TRUE;FALSE;0;MP2K6;Dual specificity mitogen-activated protein kinase kinase 6
P52943;CRIP2;1.01;0.000289;0.00133;TRUE;TRUE;FALSE;0;CRIP2;Cysteine-rich protein 2
P53611;RABGGTB;-1.1;1.81E-14;2.06E-12;TRUE;TRUE;FALSE;0;PGTB2;Geranylgeranyl transferase type-2 subunit beta
P55011;SLC12A2;1.12;3.35E-15;5.36E-13;TRUE;TRUE;FALSE;0;S12A2;Solute carrier family 12 member 2
P55268;LAMB2;1.06;0.00000895;0.0000643;TRUE;TRUE;TRUE;3;LAMB2;Laminin subunit beta-2
P55287;CDH11;2.18;2.55E-13;1.67E-11;TRUE;TRUE;FALSE;0;CAD11;Cadherin-11
P56199;ITGA1;2.74;0.000000254;0.00000274;TRUE;TRUE;TRUE;5;ITA1;Integrin alpha-1
P56377;AP1S2;1.03;0.00122;0.00466;TRUE;TRUE;TRUE;2;AP1S2;AP-1 complex subunit sigma-2
P57060;RWDD2B;1.06;0.000212;0.00102;TRUE;TRUE;TRUE;7;RWD2B;RWD domain-containing protein 2B
P57105;SYNJ2BP;1.38;0.0107;0.0293;TRUE;TRUE;FALSE;0;SYJ2B;Synaptojanin-2-binding protein
P58107;EPPK1;-2.56;7.29E-26;2.90E-22;TRUE;TRUE;FALSE;0;EPIPL;Epiplakin
P58335;ANTXR2;1.08;5.74E-09;9.85E-08;TRUE;TRUE;FALSE;0;ANTR2;Anthrax toxin receptor 2
P59768;GNG2;1.55;0.000000357;0.00000376;TRUE;TRUE;FALSE;0;GBG2;Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2
P61601;NCALD;1.11;0.0053;0.0161;TRUE;TRUE;TRUE;9;NCALD;Neurocalcin-delta
P61764;STXBP1;1.11;0.000000104;0.00000124;TRUE;TRUE;FALSE;0;STXB1;Syntaxin-binding protein 1
P61812;TGFB2;-2.4;3.29E-18;1.56E-15;TRUE;TRUE;FALSE;0;TGFB2;Transforming growth factor beta-2 proprotein
P62942;FKBP1A;1.05;0.000903;0.0036;TRUE;TRUE;FALSE;0;FKB1A;Peptidyl-prolyl cis-trans isomerase FKBP1A
P78310;CXADR;-1.59;0.000000118;0.00000138;TRUE;TRUE;TRUE;9;CXAR;Coxsackievirus and adenovirus receptor
P78330;PSPH;-1.16;0.0000678;0.000381;TRUE;TRUE;FALSE;0;SERB;Phosphoserine phosphatase
P78357;CNTNAP1;1.33;0.00000283;0.000023;TRUE;TRUE;TRUE;2;CNTP1;Contactin-associated protein 1
P78563;ADARB1;1.91;4.12E-09;7.47E-08;TRUE;TRUE;TRUE;3;RED1;Double-stranded RNA-specific editase 1
P80188;LCN2;-1.36;5.98E-09;0.000000102;TRUE;TRUE;TRUE;3;NGAL;Neutrophil gelatinase-associated lipocalin
P84157;MXRA7;1.07;0.000152;0.000765;TRUE;TRUE;TRUE;13;MXRA7;Matrix-remodeling-associated protein 7
P98160;HSPG2;1.23;8.42E-08;0.00000102;TRUE;TRUE;TRUE;3;PGBM;Basement membrane-specific heparan sulfate proteoglycan core protein
Q00534;CDK6;-1.03;1.97E-12;9.67E-11;TRUE;TRUE;FALSE;0;CDK6;Cyclin-dependent kinase 6
Q01432;AMPD3;1.27;0.000000309;0.00000329;TRUE;TRUE;TRUE;1;AMPD3;AMP deaminase 3
Q01628;IFITM3;1.06;0.000000538;0.00000533;TRUE;TRUE;TRUE;2;IFM3;Interferon-induced transmembrane protein 3
Q01650;SLC7A5;-1.15;3.58E-12;1.64E-10;TRUE;TRUE;FALSE;0;LAT1;Large neutral amino acids transporter small subunit 1
Q01995;TAGLN;-1.61;0.000285;0.00131;TRUE;TRUE;TRUE;14;TAGL;Transgelin
Q04695;KRT17;-2.06;0.000138;0.000704;TRUE;TRUE;TRUE;1;K1C17;Keratin, type I cytoskeletal 17
Q07021;C1QBP;-1.24;4.41E-14;4.44E-12;TRUE;TRUE;FALSE;0;C1QBP;Complement component 1 Q subcomponent-binding protein, mitochondrial
Q07954;LRP1;1.25;3.87E-10;9.57E-09;TRUE;TRUE;FALSE;0;LRP1;Prolow-density lipoprotein receptor-related protein 1
Q08345;DDR1;-1.47;8.38E-11;2.48E-09;TRUE;TRUE;TRUE;2;DDR1;Epithelial discoidin domain-containing receptor 1
Q08397;LOXL1;-1.33;7.23E-08;0.000000892;TRUE;TRUE;TRUE;1;LOXL1;Lysyl oxidase homolog 1
Q0ZGT2;NEXN;-1.44;6.28E-14;5.75E-12;TRUE;TRUE;FALSE;0;NEXN;Nexilin
Q12791;KCNMA1;1.44;0.000000228;0.00000251;TRUE;TRUE;FALSE;0;KCMA1;Calcium-activated potassium channel subunit alpha-1
Q12805;EFEMP1;-3.55;6.51E-14;5.88E-12;TRUE;TRUE;TRUE;8;FBLN3;EGF-containing fibulin-like extracellular matrix protein 1
Q12857;NFIA;-1.32;1.62E-10;4.63E-09;TRUE;TRUE;TRUE;1;NFIA;Nuclear factor 1 A-type
Q13228;SELENBP1;2.56;1.08E-13;8.57E-12;TRUE;TRUE;FALSE;0;SBP1;Methanethiol oxidase
Q13303;KCNAB2;1.25;0.000205;0.000997;TRUE;TRUE;TRUE;8;KCAB2;Voltage-gated potassium channel subunit beta-2
Q13470;TNK1;-1.19;0.00000184;0.0000158;TRUE;TRUE;FALSE;0;TNK1;Non-receptor tyrosine-protein kinase TNK1
Q13488;TCIRG1;1.54;5.52E-10;1.32E-08;TRUE;TRUE;FALSE;0;VPP3;V-type proton ATPase 116 kDa subunit a 3
Q13642;FHL1;1.28;1.28E-13;9.57E-12;TRUE;TRUE;FALSE;0;FHL1;Four and a half LIM domains protein 1
Q13835;PKP1;1.58;1.10E-15;2.05E-13;TRUE;TRUE;FALSE;0;PKP1;Plakophilin-1
Q13884;SNTB1;2.24;3.07E-10;7.87E-09;TRUE;TRUE;TRUE;1;SNTB1;Beta-1-syntrophin
Q13938;CAPS;-1.98;2.41E-13;1.62E-11;TRUE;TRUE;FALSE;0;CAYP1;Calcyphosin
Q14012;CAMK1;1.23;1.11E-08;0.000000171;TRUE;TRUE;TRUE;1;KCC1A;Calcium/calmodulin-dependent protein kinase type 1
Q14195;DPYSL3;1.16;4.96E-12;2.21E-10;TRUE;TRUE;FALSE;0;DPYL3;Dihydropyrimidinase-related protein 3
Q14240;EIF4A2;1.46;7.58E-10;0.000000018;TRUE;TRUE;FALSE;0;IF4A2;Eukaryotic initiation factor 4A-II
Q14244;MAP7;-1.52;1.62E-16;3.97E-14;TRUE;TRUE;FALSE;0;MAP7;Ensconsin
Q14315;FLNC;1.59;4.41E-09;7.86E-08;TRUE;TRUE;FALSE;0;FLNC;Filamin-C
Q14353;GAMT;1.09;7.54E-12;3.15E-10;TRUE;TRUE;FALSE;0;GAMT;Guanidinoacetate N-methyltransferase
Q14435;GALNT3;-1.21;0.000000114;0.00000135;TRUE;TRUE;FALSE;0;GALT3;Polypeptide N-acetylgalactosaminyltransferase 3
Q14512;FGFBP1;-1.41;0.000000235;0.00000255;TRUE;TRUE;TRUE;1;FGFP1;Fibroblast growth factor-binding protein 1
Q14563;SEMA3A;-1.07;0.000000218;0.00000241;TRUE;TRUE;TRUE;5;SEM3A;Semaphorin-3A
Q14574;DSC3;1.01;0.00261;0.00886;TRUE;TRUE;TRUE;3;DSC3;Desmocollin-3
Q14699;RFTN1;-1.1;2.21E-08;0.000000314;TRUE;TRUE;FALSE;0;RFTN1;Raftlin
Q14766;LTBP1;1.44;1.81E-11;6.69E-10;TRUE;TRUE;FALSE;0;LTBP1;Latent-transforming growth factor beta-binding protein 1
Q15119;PDK2;1.17;0.000819;0.00331;TRUE;TRUE;TRUE;5;PDK2;[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial
Q15147;PLCB4;1.76;3.40E-15;5.36E-13;TRUE;TRUE;FALSE;0;PLCB4;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4
Q15392;DHCR24;-1.46;2.47E-11;8.63E-10;TRUE;TRUE;FALSE;0;DHC24;Delta(24)-sterol reductase
Q15417;CNN3;-1.71;7.08E-18;2.72E-15;TRUE;TRUE;FALSE;0;CNN3;Calponin-3
Q15555;MAPRE2;1.28;1.75E-08;0.000000259;TRUE;TRUE;FALSE;0;MARE2;Microtubule-associated protein RP/EB family member 2
Q15654;TRIP6;1.1;0.0000052;0.00004;TRUE;TRUE;FALSE;0;TRIP6;Thyroid receptor-interacting protein 6
Q15847;ADIRF;1.89;3.99E-16;9.07E-14;TRUE;TRUE;FALSE;0;ADIRF;Adipogenesis regulatory factor
Q15942;ZYX;1.39;1.70E-19;1.04E-16;TRUE;TRUE;FALSE;0;ZYX;Zyxin
Q16625;OCLN;-1.33;8.75E-08;0.00000106;TRUE;TRUE;TRUE;1;OCLN;Occludin
Q16666;IFI16;1.56;1.07E-09;2.38E-08;TRUE;TRUE;TRUE;9;IF16;Gamma-interferon-inducible protein 16
Q16880;UGT8;1.61;9.54E-12;3.86E-10;TRUE;TRUE;TRUE;6;CGT;2-hydroxyacylsphingosine 1-beta-galactosyltransferase
Q16881;TXNRD1;1.42;4.30E-15;6.15E-13;TRUE;TRUE;FALSE;0;TRXR1;Thioredoxin reductase 1, cytoplasmic
Q1L6U9;MSMP;2.74;4.67E-10;1.14E-08;TRUE;TRUE;FALSE;0;MSMP;Prostate-associated microseminoprotein
Q2TAA2;IAH1;1.17;0.000251;0.00118;TRUE;TRUE;TRUE;2;IAH1;Isoamyl acetate-hydrolyzing esterase 1 homolog
Q3KQV9;UAP1L1;1.46;0.000000977;0.00000897;TRUE;TRUE;TRUE;1;UAP1L;UDP-N-acetylhexosamine pyrophosphorylase-like protein 1
Q3KR37;GRAMD1B;1.34;7.00E-13;4.05E-11;TRUE;TRUE;FALSE;0;ASTRB;Protein Aster-B
Q3LXA3;TKFC;1.16;3.45E-09;6.37E-08;TRUE;TRUE;FALSE;0;TKFC;Triokinase/FMN cyclase
Q3V6T2;CCDC88A;1.08;0.000000552;0.00000543;TRUE;TRUE;FALSE;0;GRDN;Girdin
Q5H8A4;PIGG;1.22;0.0000989;0.00053;TRUE;TRUE;TRUE;5;PIGG;GPI ethanolamine phosphate transferase 2
Q5NDL2;EOGT;-1.11;0.0147;0.0383;TRUE;TRUE;TRUE;5;EOGT;EGF domain-specific O-linked N-acetylglucosamine transferase
Q5T0Z8;C6orf132;-2.95;8.98E-14;7.45E-12;TRUE;TRUE;TRUE;10;CF132;Uncharacterized protein C6orf132
Q5T2T1;MPP7;-1.02;2.48E-09;4.86E-08;TRUE;TRUE;FALSE;0;MPP7;MAGUK p55 subfamily member 7
Q5VV41;ARHGEF16;-1.59;1.42E-16;3.63E-14;TRUE;TRUE;FALSE;0;ARHGG;Rho guanine nucleotide exchange factor 16
Q5VYY1;ANKRD22;-4.33;4.86E-15;6.78E-13;TRUE;TRUE;TRUE;9;ANR22;Ankyrin repeat domain-containing protein 22
